PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
S	Stuessy, TF; Crawford, DJ; Soltis, DE; Soltis, PS	Stuessy, TF; Crawford, DJ; Soltis, DE; Soltis, PS			Stuessy, Tod F.; Crawford, Daniel J.; Soltis, Douglas E.; Soltis, Pamela S.	Stuessy, TF; Crawford, DJ; Soltis, DE; Soltis, PS		THE GENETIC REVOLUTION: CYTOGENETICS, MOLECULAR BIOLOGY, AND POPULATION GENETICS	PLANT SYSTEMATICS: THE ORIGIN, INTERPRETATION, AND ORDERING OF PLANT BIODIVERSITY	Regnum Vegetabile																Soltis, Pamela S/GNH-5557-2022; Soltis, Douglas/L-5957-2015; Soltis, Pamela S/L-5184-2015	Soltis, Pamela S/0000-0001-9310-8659; 													0080-0694		978-3-87429-452-2				2014	156						35	61																WOS:000338385700004
J	FRANKHAM, R				FRANKHAM, R			POPULATION-GENETICS IN ANIMAL BREEDING, 2ND EDITION - PIRCHNER,F	AMERICAN SCIENTIST																															0003-0996						1983	71	6					652	653																WOS:A1983RR81800041
J	ROSSI, C				ROSSI, C			EQUILIBRIUM STABILITY OF A DIFFUSION PROCESS IN POPULATION-GENETICS	ANNALS OF HUMAN GENETICS																															0003-4800						1979	43	OCT					187	192		10.1111/j.1469-1809.1979.tb02011.x	http://dx.doi.org/10.1111/j.1469-1809.1979.tb02011.x								525977					WOS:A1979HS80700012
J	Flint, J				Flint, Jonathan			Deep Reads: How I learnt to love population genetics	PLOS GENETICS																		Flint, Jonathan/0000-0002-9427-4429													1553-7404					DEC	2017	13	12							e1007140	10.1371/journal.pgen.1007140	http://dx.doi.org/10.1371/journal.pgen.1007140								29267281					WOS:000419103000025
J	Casci, T				Casci, Tanita			Population genetics - Worm strains mix but don't match	NATURE REVIEWS GENETICS																		Casci, Tanita/0000-0002-1838-0027													1471-0056					FEB	2008	9	2								10.1038/nrg2315	http://dx.doi.org/10.1038/nrg2315													WOS:000252455400005
J	MEULEPAS, E; CASSIMAN, JJ; VANDENBERGHE, H				MEULEPAS, E; CASSIMAN, JJ; VANDENBERGHE, H			THE PROBABILISTIC-INTERPRETATION OF CORRELATION-COEFFICIENTS IN POPULATION-GENETICS	THEORETICAL POPULATION BIOLOGY																															0040-5809	1096-0325				JUN	1991	39	3					301	314		10.1016/0040-5809(91)90025-B	http://dx.doi.org/10.1016/0040-5809(91)90025-B													WOS:A1991FX07800004
J	SUNDERLA.E				SUNDERLA.E			COLLECTION OF EXERCISES ON POPULATION GENETICS - FRENCH - GENERMONT,J	MAN																															0025-1496						1971	6	1					121	122																WOS:A1971J450200019
S	Magalhaes, JCM; Gondro, C		Krause, D; Videira, A		Magalhaes, Joao Carlos M.; Gondro, Cedric			A Contemporary View of Population Genetics in Evolution	BRAZILIAN STUDIES IN PHILOSOPHY AND HISTORY OF SCIENCE: AN ACCOUNT OF RECENT WORKS	Boston Studies in the Philosophy and History of Science																gondro, cedric/B-4362-2010	gondro, cedric/0000-0003-0666-656X													0068-0346		978-90-481-9421-6				2011	290						281	290		10.1007/978-90-481-9422-3_21	http://dx.doi.org/10.1007/978-90-481-9422-3_21	10.1007/978-90-481-9422-3												WOS:000287381700021
J	Yamazaki, T				Yamazaki, T			Proceedings of Fukuoka International Symposium on Population Genetics - Introduction	GENES & GENETIC SYSTEMS																															1341-7568	1880-5779				OCT	1999	74	5					187	187																WOS:000085786200001
J	KAMBOH, MI; SERJEANTSON, S; FERRELL, RE				KAMBOH, MI; SERJEANTSON, S; FERRELL, RE			POPULATION-GENETICS OF APOLIPOPROTEIN POLYMORPHISMS IN THE AUSTRALIAN ABORIGINES	AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY																															0002-9483					FEB	1990	81	2					246	247																WOS:A1990CQ19800195
J	CHAKRABORTY, R				CHAKRABORTY, R			POPULATION-GENETICS AND MOLECULAR EVOLUTION - OHTA,T, AOKI,K	AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY																															0002-9483					OCT	1987	74	2					275	276		10.1002/ajpa.1330740214	http://dx.doi.org/10.1002/ajpa.1330740214													WOS:A1987K832200013
J	ZEI, G; CHEN, KH; CAVALLISFORZA, LL				ZEI, G; CHEN, KH; CAVALLISFORZA, LL			APPLICATION OF THE STUDY OF SURNAMES TO POPULATION-GENETICS	AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY																															0002-9483						1982	57	2					244	244																WOS:A1982NG37000235
J	WALTER, H; NEUMANN, S; BACKHAUSZ, R; NEMESKERI, J				WALTER, H; NEUMANN, S; BACKHAUSZ, R; NEMESKERI, J			POPULATION-GENETICS OF PSEUDOCHOLINESTERASE-VARIANTS IN HUNGARY AND GERMANY	HUMANGENETIK																																					1965	1	6					551	556		10.1007/BF00338343	http://dx.doi.org/10.1007/BF00338343								4957962					WOS:A1965CLE5700005
J	NADLER, SA				NADLER, SA			MOLECULAR APPROACHES TO STUDYING HELMINTH POPULATION-GENETICS AND PHYLOGENY	INTERNATIONAL JOURNAL FOR PARASITOLOGY																															0020-7519	1879-0135				FEB	1990	20	1					11	29		10.1016/0020-7519(90)90168-M	http://dx.doi.org/10.1016/0020-7519(90)90168-M								2179149					WOS:A1990CR57600002
J	RITTNER, C; WOLF, T				RITTNER, C; WOLF, T			POPULATION-GENETICS OF THE COAGULATION FACTOR-XIII-A POLYMORPHISM	ZEITSCHRIFT FUR RECHTSMEDIZIN-JOURNAL OF LEGAL MEDICINE																															0044-3433						1984	91	3					225	229		10.1007/BF02116425	http://dx.doi.org/10.1007/BF02116425								6702319					WOS:A1984SB69100006
B	Dunham, RA	Dunham, RA			Dunham, Rex A.	Dunham, RA		Population Genetics and Interactions of Hatchery and Wild Fish	AQUACULTURE AND FISHERIES BIOTECHNOLOGY: GENETIC APPROACHES, 2ND EDITION																																	978-1-84593-651-8				2011							170	189																WOS:000299503100013
C	MCPHERON, BA		Aluja, M; Liedo, P		MCPHERON, BA			RECENT ADVANCES AND FUTURE-DIRECTIONS IN TEPHRITID POPULATION-GENETICS	FRUIT FLIES: BIOLOGY AND MANAGEMENT					INTERNATIONAL SYMP ON FRUIT FLIES OF ECONOMIC IMPORTANCE	OCT 14-20, 1990	ANTIGUA, GUATEMALA											McPheron, Bruce/0000-0001-9623-5100															0-387-97905-0				1993							59	64																WOS:A1993BX29R00012
J	AYALA, FJ				AYALA, FJ			POPULATION-GENETICS AND MOLECULAR EVOLUTION - OHTA,T, AOKI,K	HISTORY AND PHILOSOPHY OF THE LIFE SCIENCES																															0391-9714						1989	11	1					175	176																WOS:A1989AR56500046
J	CHARLESWORTH, D; GANDERS, FR				CHARLESWORTH, D; GANDERS, FR			POPULATION-GENETICS OF GYNODIOECY WITH CYTOPLASMIC-GENIC MALE-STERILITY	HEREDITY																	Charlesworth, Deborah/F-3071-2011														0018-067X						1979	43	OCT					213	218		10.1038/hdy.1979.76	http://dx.doi.org/10.1038/hdy.1979.76													WOS:A1979JC34700006
J	Solano, P; Ravel, S; Kaba, D; Bouyer, J; Sidibe, I; Camara, M; Cuny, G; de Meeus, T				Solano, Philippe; Ravel, Sophie; Kaba, Dramane; Bouyer, Jeremy; Sidibe, Issa; Camara, Mamadou; Cuny, Gerard; de Meeus, Thierry			HOW CAN TSETSE POPULATION GENETICS CONTRIBUTE TO AFRICAN TRYPANOSOMIASIS CONTROL?	AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE					59th Annual Meeting of the American-Society-of-Tropical-Medicine-and-Hygiene (ASTMH)	NOV 03-07, 2010	Atlanta, GA	Amer Soc Trop Med & Hyg (ASTMH)									Bouyer, Jérémy/AAK-7370-2020	Bouyer, Jérémy/0000-0002-1913-416X													0002-9637					NOV	2010	83	5		S		420	126	126																WOS:000295819700421
J	Wright, LP; Lombard, L; Wingfield, BD; Wingfield, MJ				Wright, L. P.; Lombard, L.; Wingfield, B. D.; Wingfield, M. J.			Polymorphic microsatellites for studying the population genetics of Cylindrocladium pauciramosum	SOUTH AFRICAN JOURNAL OF SCIENCE																	Lombard, Lorenzo/B-2042-2010; Lombard, Lorenzo/GSD-5228-2022; Wingfield, Brenda D./B-1376-2008; Wingfield, Michael J/A-9473-2008	Lombard, Lorenzo/0000-0002-5942-5375; Wingfield, Brenda D./0000-0002-6189-1519; 													0038-2353					JAN-FEB	2007	103	1-2					IX	IX																WOS:000247522200050
J	PAGE, RE; LAIDLAW, HH				PAGE, RE; LAIDLAW, HH			CLOSED POPULATION HONEYBEE BREEDING .1. POPULATION-GENETICS OF SEX DETERMINATION	JOURNAL OF APICULTURAL RESEARCH																															0021-8839						1982	21	1					30	37		10.1080/00218839.1982.11100513	http://dx.doi.org/10.1080/00218839.1982.11100513													WOS:A1982PV73900006
J	Bahlo, M; Thomson, R; Speed, T				Bahlo, M; Thomson, R; Speed, T			Ancestral inference in population genetics models with selection - Discussion	AUSTRALIAN & NEW ZEALAND JOURNAL OF STATISTICS																	Speed, Terence P/B-8085-2009; Thomson, Russell J/H-5653-2012	Speed, Terence P/0000-0002-5403-7998; Thomson, Russell J/0000-0003-4949-4120													1369-1473					DEC	2003	45	4					427	428																WOS:000186896900004
J	Nijman, V; Smith, JH; Kanda, RK				Nijman, Vincent; Smith, Jaima H.; Kanda, Ravinder K.			Phylogeography, Population Genetics, and Conservation of Javan Gibbons (Hylobates moloch)	INTERNATIONAL JOURNAL OF PRIMATOLOGY																	Nijman, Vincent/AHD-8685-2022	Nijman, Vincent/0000-0002-5600-4276													0164-0291	1573-8604				APR	2019	40	2					156	161		10.1007/s10764-019-00080-3	http://dx.doi.org/10.1007/s10764-019-00080-3													WOS:000467489800002
J	Tatarenkov, A				Tatarenkov, A.			Population genetics and phylogeography of a selfing killifish, Kryptolebias marmoratus	INTEGRATIVE AND COMPARATIVE BIOLOGY					Annual Meeting of the Society-for-Integrative-and-Comparative-Biology (SICB)	JAN 03-07, 2012	Charleston, SC	Soc Integrat & Comparat Biol (SICB)									Tatarenkov, Andrey/D-5228-2009	Tatarenkov, Andrey/0000-0002-0516-5862													1540-7063					APR	2012	52			1			E172	E172																WOS:000303165001156
J	ETHIER, SN				ETHIER, SN			LIMIT-THEOREM FOR 2-LOCUS DIFFUSION-MODELS IN POPULATION-GENETICS	JOURNAL OF APPLIED PROBABILITY																															0021-9002						1979	16	2					402	408		10.2307/3212907	http://dx.doi.org/10.2307/3212907													WOS:A1979HC43100016
J	JENSEN, L				JENSEN, L			A TECHNIQUE FOR SOLVING SOME DIFFUSION EQUATIONS IN POPULATION GENETICS	BIOMETRICS																															0006-341X						1969	25	4					794	&																WOS:A1969E993600042
J	EWENS, WJ				EWENS, WJ			SOME APPLICATIONS OF MULTIPLE-TYPE BRANCHING PROCESSES IN POPULATION GENETICS	JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY																															1369-7412	1467-9868					1968	30	1					164	175																WOS:A1968B192200013
C	Ulkuer, MK; Ulkuer, U; Elma, C; Kesici, T		Brinkman, B; Carracedo, A		Ulkuer, MK; Ulkuer, U; Elma, C; Kesici, T			Population genetics of nine STR loci in the Turkish population	PROGRESS IN FORENSIC GENETICS 9	INTERNATIONAL CONGRESS SERIES				19th International Congress of the International-Society-Forensic-Genetics	AUG 28-SEP 01, 2001	MUNSTER, GERMANY	Int Soc Forens Genet																							0531-5131		0-444-50717-5				2003	1239						145	145	PII S0531-5131(02)00854-3															WOS:000182158600035
J	SARKAR, S				SARKAR, S			HALDANE AND THE EMERGENCE OF THEORETICAL POPULATION-GENETICS, 1924-1932	JOURNAL OF GENETICS																															0022-1333	0973-7731				DEC	1992	71	3					73	79		10.1007/BF02927888	http://dx.doi.org/10.1007/BF02927888													WOS:A1992KN83600002
J	MAKSYMOWYCH, WP; GLASS, DN				MAKSYMOWYCH, WP; GLASS, DN			POPULATION-GENETICS AND MOLECULAR-BIOLOGY OF THE CHILDHOOD CHRONIC ARTHROPATHIES	BAILLIERES CLINICAL RHEUMATOLOGY																															0950-3579					DEC	1988	2	3					649	671		10.1016/S0950-3579(88)80033-5	http://dx.doi.org/10.1016/S0950-3579(88)80033-5								2906573					WOS:A1988T235900009
J	LESTER, LJ				LESTER, LJ			POPULATION-GENETICS OF PENAEID SHRIMP FROM THE GULF OF MEXICO	JOURNAL OF HEREDITY																															0022-1503						1979	70	3					175	180		10.1093/oxfordjournals.jhered.a109229	http://dx.doi.org/10.1093/oxfordjournals.jhered.a109229													WOS:A1979HG29000005
J	Gibbons, A				Gibbons, Ann			POPULATION GENETICS Papua New Guinea's genetic diversity withstood farming	SCIENCE																															0036-8075	1095-9203				SEP 15	2017	357	6356					1086	1086		10.1126/science.357.6356.1086	http://dx.doi.org/10.1126/science.357.6356.1086								28912225					WOS:000410639800018
B			Walk, ST; Feng, PCH					Population Genetics of Bacteria: A Tribute to Thomas S. Whittam	POPULATION GENETICS OF BACTERIA: A TRIBUTE TO THOMAS S. WHITTAM																																	978-1-55581-711-4				2011							1	340																WOS:000299463700022
J	Dawson, MN; Ribas, CC; Dolby, GA; Fritz, SC				Dawson, Michael N.; Ribas, Camila C.; Dolby, Greer A.; Fritz, Sherilyn C.			Geogenomics: Toward synthesis	JOURNAL OF BIOGEOGRAPHY																	Dolby, Greer/K-9468-2015	Dolby, Greer/0000-0002-5923-0690; Dawson, Michael/0000-0001-7927-8395													0305-0270	1365-2699				SEP	2022	49	9					1657	1661		10.1111/jbi.14467	http://dx.doi.org/10.1111/jbi.14467		AUG 2022											WOS:000837469000001
J	Gibbons, A				Gibbons, Ann			POPULATION GENETICS Genes Suggest Three Groups Peopled the New World	SCIENCE																															0036-8075					JUL 13	2012	337	6091					144	144		10.1126/science.337.6091.144	http://dx.doi.org/10.1126/science.337.6091.144								22798576					WOS:000306323500013
J	BUTCHER, DF				BUTCHER, DF			THEORETICAL ASPECTS OF POPULATION GENETICS - KIMURA,M AND OHTA,T	BIOMETRICS																															0006-341X						1973	29	3					606	607		10.2307/2529188	http://dx.doi.org/10.2307/2529188													WOS:A1973Q437700022
J	RITTER, H; WENDT, GG				RITTER, H; WENDT, GG			POPULATION GENETICS OF PHOSPHOGLUCOSE ISOMERASE (EC-5.3.1.9)	HUMANGENETIK																																					1971	13	4					356	&											5135857					WOS:A1971L104700015
J	BLUMENBERG, B				BLUMENBERG, B			HISTORICAL POPULATION-GENETICS OF FELIS-CATUS IN HUMBOLDT COUNTY, CALIFORNIA	GENETICA																															0016-6707					JAN 15	1986	68	2					81	86		10.1007/BF02424403	http://dx.doi.org/10.1007/BF02424403													WOS:A1986A108700001
J	SATO, KI				SATO, KI			CLASS OF MARKOV-CHAINS RELATED TO SELECTION IN POPULATION-GENETICS	JOURNAL OF THE MATHEMATICAL SOCIETY OF JAPAN																															0025-5645						1976	28	4					621	637		10.2969/jmsj/02840621	http://dx.doi.org/10.2969/jmsj/02840621													WOS:A1976CQ57200004
J	NEEL, JV				NEEL, JV			THE POPULATION GENETICS OF 2 INHERITED BLOOD DYSCRASIAS IN MAN	COLD SPRING HARBOR SYMPOSIA ON QUANTITATIVE BIOLOGY																															0091-7451						1950	15						141	158		10.1101/SQB.1950.015.01.017	http://dx.doi.org/10.1101/SQB.1950.015.01.017								14942706					WOS:A1950UC66000015
B	Templeton, AR	Templeton, AR			Templeton, Alan R.	Templeton, AR		DEFINITION, SCOPE, AND PREMISES OF HUMAN POPULATION GENETICS	HUMAN POPULATION GENETICS AND GENOMICS																																	978-0-12-386026-2; 978-0-12-386025-5				2019							1	29		10.1016/B978-0-12-386025-5.00001-4	http://dx.doi.org/10.1016/B978-0-12-386025-5.00001-4													WOS:000465255800002
J	ROGERS, LA; CRAWFORD, MH				ROGERS, LA; CRAWFORD, MH			POPULATION-GENETICS OF AGING AND LONGEVITY AMONG MENNONITES OF KANSAS	AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY																															0002-9483						1981	54	2					269	269																WOS:A1981LG31200221
J	PAMILO, P; VEPSALAINEN, K; ROSENGREN, R; VARVIOAHO, SL; PISARSKI, B				PAMILO, P; VEPSALAINEN, K; ROSENGREN, R; VARVIOAHO, SL; PISARSKI, B			POPULATION-GENETICS OF FORMICA ANTS .2. GENIC DIFFERENTIATION BETWEEN SPECIES	ANNALES ENTOMOLOGICI FENNICI																	Pamilo, Pekka/C-6907-2011														0003-4428						1979	45	3					65	76																WOS:A1979JA29800001
J	BURGER, R				BURGER, R			MUTATION-SELECTION MODELS IN POPULATION-GENETICS AND EVOLUTIONARY GAME-THEORY	ACTA APPLICANDAE MATHEMATICAE																		Buerger, Reinhard/0000-0003-2174-4968													0167-8019	1572-9036				JAN-FEB	1989	14	1-2					75	89		10.1007/BF00046675	http://dx.doi.org/10.1007/BF00046675													WOS:A1989T923100008
J	OHTA, T				OHTA, T			POPULATION-GENETICS OF AN EXPANDING FAMILY OF MOBILE GENETIC ELEMENTS	GENETICS																															0016-6731					MAY	1986	113	1					145	159											3011588					WOS:A1986C220200012
J	ETHIER, SN				ETHIER, SN			A CLASS OF INFINITE-DIMENSIONAL DIFFUSIONS OCCURRING IN POPULATION-GENETICS	INDIANA UNIVERSITY MATHEMATICS JOURNAL																															0022-2518						1981	30	6					925	935		10.1512/iumj.1981.30.30068	http://dx.doi.org/10.1512/iumj.1981.30.30068													WOS:A1981MT06700009
J	LILLESTOL, J				LILLESTOL, J			ANOTHER APPROACH TO SOME MARKOV CHAIN MODELS IN POPULATION GENETICS	JOURNAL OF APPLIED PROBABILITY																															0021-9002	1475-6072					1968	5	1					9	+		10.2307/3212073	http://dx.doi.org/10.2307/3212073													WOS:A1968B411100002
J	Charlesworth, B				Charlesworth, Brian			What Use Is Population Genetics?	GENETICS																															0016-6731	1943-2631				JUL	2015	200	3					667	669		10.1534/genetics.115.178426	http://dx.doi.org/10.1534/genetics.115.178426								26170438					WOS:000357883800001
B	Peng, B	Peng, B; Kimmel, M; Amos, CI			Peng, Bo	Peng, B; Kimmel, M; Amos, CI		FORWARD-TIME POPULATION GENETICS SIMULATIONS Methods, Implementation, and Applications PREFACE	FORWARD-TIME POPULATION GENETICS SIMULATIONS: METHODS, IMPLEMENTATION, AND APPLICATIONS																																	978-0-470-50348-5; 978-1-118-18032-7				2012							XIII	XV				10.1002/9781118180358												WOS:000337143400001
J	LANDER, ES; BUDOWLE, B				LANDER, ES; BUDOWLE, B			DNA-FINGERPRINTING DISPUTE LAID TO REST	NATURE																	Schneider, Peter M./A-6661-2011														0028-0836					OCT 27	1994	371	6500					735	738		10.1038/371735a0	http://dx.doi.org/10.1038/371735a0								7818670					WOS:A1994PP01800025
J	ROTHER, W				ROTHER, W			A LINEAR EIGENVALUE PROBLEM WITH INDEFINITE WEIGHT FUNCTION	ARCHIV DER MATHEMATIK																															0003-889X					JUN 2	1993	60	6					539	542		10.1007/BF01236079	http://dx.doi.org/10.1007/BF01236079													WOS:A1993LN00100009
J	BAER, A				BAER, A			PRINCIPLES OF POPULATION-GENETICS, 2ND EDITION - HARTL,DL, CLARK,AG	AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY																															0002-9483					NOV	1989	80	3					405	405		10.1002/ajpa.1330800314	http://dx.doi.org/10.1002/ajpa.1330800314													WOS:A1989AX83000013
J	AVERY, PJ				AVERY, PJ			THE POPULATION-GENETICS OF HAPLO-DIPLOIDS AND X-LINKED GENES	GENETICS RESEARCH																															0016-6723	1469-5073					1984	44	3					321	341		10.1017/S0016672300026550	http://dx.doi.org/10.1017/S0016672300026550													WOS:A1984ACP8900008
J	SAWYER, S				SAWYER, S			RESULTS FOR STEPPING STONE MODEL FOR MIGRATION IN POPULATION-GENETICS	ANNALS OF PROBABILITY																															0091-1798						1976	4	5					699	728		10.1214/aop/1176995980	http://dx.doi.org/10.1214/aop/1176995980													WOS:A1976CJ53600001
J	Wulf, GW; Mey, K; Sethuraman, A; Sustaita, D				Wulf, G. W.; Mey, K.; Sethuraman, A.; Sustaita, D.			Population Genetics, Form, and Function of Loggerhead Shrikes in California	INTEGRATIVE AND COMPARATIVE BIOLOGY					Annual Meeting of the Society-for-Integrative-and-Comparative-Biology (SICB)	JAN 03-07, 2019	Tampa, FL	Soc Integrat & Comparat Biol																							1540-7063	1557-7023				MAR	2019	59			1		P2-175	E438	E438																WOS:000460620905231
J	SINGH, RS				SINGH, RS			POPULATION-GENETICS AND EVOLUTION OF SPECIES RELATED TO DROSOPHILA-MELANOGASTER	ANNUAL REVIEW OF GENETICS																															0066-4197	1545-2948					1989	23						425	453		10.1146/annurev.ge.23.120189.002233	http://dx.doi.org/10.1146/annurev.ge.23.120189.002233								2515792					WOS:A1989CE68800018
J	KISER, CV				KISER, CV			TYPES OF DEMOGRAPHIC-DATA OF POSSIBLE RELEVANCE TO POPULATION-GENETICS	EUGENICS QUARTERLY																																					1965	12	2					72	84																WOS:A1965CBR9200002
J	Soule, ME; Mills, LS				Soule, ME; Mills, LS			Population genetics - No need to isolate genetics	SCIENCE																	Mills, L. Scott/K-2458-2012	Mills, L. Scott/0000-0001-8771-509X													0036-8075					NOV 27	1998	282	5394					1658	1659		10.1126/science.282.5394.1658	http://dx.doi.org/10.1126/science.282.5394.1658													WOS:000077246600033
J	MCCAIN, KW				MCCAIN, KW			MAPPING AUTHORS IN INTELLECTUAL SPACE - POPULATION-GENETICS IN THE 1980S	COMMUNICATION RESEARCH																	White, Howard D/A-7034-2009														0093-6502					OCT	1989	16	5					667	681		10.1177/009365089016005007	http://dx.doi.org/10.1177/009365089016005007													WOS:A1989AU97800007
J	HUDSON, RR; KAPLAN, NL				HUDSON, RR; KAPLAN, NL			APPLICATIONS OF THE COALESCENT PROCESS TO PROBLEMS IN POPULATION-GENETICS	ENVIRONMENTAL HEALTH PERSPECTIVES																															0091-6765					NOV	1987	75						126	127																WOS:A1987L372900032
J	TAVARE, S				TAVARE, S			A GENEALOGICAL VIEW OF SOME STOCHASTIC-MODELS IN POPULATION-GENETICS	STOCHASTIC PROCESSES AND THEIR APPLICATIONS																															0304-4149						1985	19	1					10	10																WOS:A1985AEV0600018
J	DONNELLY, P				DONNELLY, P			THE TRANSIENT-BEHAVIOR OF THE MORAN MODEL IN POPULATION-GENETICS	MATHEMATICAL PROCEEDINGS OF THE CAMBRIDGE PHILOSOPHICAL SOCIETY																															0305-0041						1984	95	MAR					349	358		10.1017/S0305004100061624	http://dx.doi.org/10.1017/S0305004100061624													WOS:A1984SU37800015
J	THALER, L; BONHOMME, F; BRITTONDAVIDIAN, J				THALER, L; BONHOMME, F; BRITTONDAVIDIAN, J			MOLECULAR POPULATION-GENETICS OF MICE - SIGNIFICANCE OF THE MEDITERRANEAN BASIN	HEREDITAS																															0018-0661						1978	89	2					149	149																WOS:A1978GH12600023
J	CHESNE, AD; SCHIFFMANN, B				CHESNE, AD; SCHIFFMANN, B			GENE FREQUENCY OF PGM AND AK POPULATION-GENETICS IN LEIPZIG	KRIMINALISTIK UND FORENSISCHE WISSENSCHAFTEN																															0023-4702						1975		19					162	162																WOS:A1975BZ31500041
J	Gaggiotti, OE				Gaggiotti, OE			Evolutionary population genetics - Were the Vikings immune to HIV?	HEREDITY																	Gaggiotti, Oscar E/G-2459-2010	Gaggiotti, Oscar E/0000-0003-1827-1493													0018-067X	1365-2540				APR	2006	96	4					280	281		10.1038/sj.hdy.6800806	http://dx.doi.org/10.1038/sj.hdy.6800806								16449980					WOS:000236390700003
J	HILL, AVS				HILL, AVS			THE POPULATION-GENETICS OF ALPHA-THALASSEMIA AND THE MALARIA HYPOTHESIS	COLD SPRING HARBOR SYMPOSIA ON QUANTITATIVE BIOLOGY																	HILL, Adrian V>S>/C-1306-2008														0091-7451						1986	51		1				489	498		10.1101/SQB.1986.051.01.060	http://dx.doi.org/10.1101/SQB.1986.051.01.060								3472737					WOS:A1986H035200058
J	Minier, DH; Hanson, LE				Minier, D. H.; Hanson, L. E.			Utilization of microsatellites for Rhizoctonia solani AG2-2 population genetics	PHYTOPATHOLOGY					American-Phytopathological-Society (APS) Plant Health Annual Meeting (Plant Health)	AUG 03-07, 2019	Cleveland, OH	Amer Phytopathol Soc																							0031-949X	1943-7684				OCT	2019	109	10		S			170	170																WOS:000492694200646
J	TAKAHATA, N				TAKAHATA, N			POPULATION-GENETICS OF EXTRANUCLEAR GENOMES UNDER THE NEUTRAL MUTATION HYPOTHESIS	GENETICAL RESEARCH																															0016-6723						1983	42	3					235	255		10.1017/S0016672300021741	http://dx.doi.org/10.1017/S0016672300021741													WOS:A1983SB53900001
J	PALSSON, J; WALTER, H				PALSSON, J; WALTER, H			STUDY OF POPULATION GENETICS IN ICELAND ESPECIALLY THE DALASYSLA REGION	HUMANGENETIK																																					1967	4	4					352	352		10.1007/BF00285741	http://dx.doi.org/10.1007/BF00285741								6065793					WOS:A1967A095000003
J	HALKKA, O; HALKKA, L				HALKKA, O; HALKKA, L			POPULATION-GENETICS OF THE POLYMORPHIC MEADOW SPITTLEBUG, PHILAENUS-SPUMARIUS (L)	EVOLUTIONARY BIOLOGY-NEW YORK																															0071-3260						1990	24						149	191																WOS:A1990EC23000005
J	Donoso, D				Donoso, David			COI barcodes link population genetics with soil food web structure	GENOME																	Donoso, David A/A-2059-2016	Donoso, David A/0000-0002-3408-1457													0831-2796	1480-3321				MAY	2015	58	5					213	213																WOS:000360861200103
J	Taqi, Z; Alenizi, M; Alenizi, H; Ismael, S; Bin Dukhyil, AA; Nazir, M; Sanqoor, S; Al Harbi, E; Al-Jaber, J; Theyab, J; Moura-Neto, RS; Budowle, B				Taqi, Zainab; Alenizi, Mohammad; Alenizi, Homod; Ismael, Samer; Bin Dukhyil, Abdul Aziz; Nazir, Muhammad; Sanqoor, Shaikha; Al Harbi, Einas; Al-Jaber, Jaber; Theyab, Jassem; Moura-Neto, Rodrigo S.; Budowle, Bruce			Population genetics of 23 Y-STR markers in Kuwaiti population	FORENSIC SCIENCE INTERNATIONAL-GENETICS																	Moura-Neto, Rodrigo S/F-6770-2012	Moura-Neto, Rodrigo S/0000-0002-4292-6878; Budowle, Bruce/0000-0003-4116-2930													1872-4973	1878-0326				MAR 24	2015	16						203	204		10.1016/j.fsigen.2015.01.007	http://dx.doi.org/10.1016/j.fsigen.2015.01.007								25643873					WOS:000351952700031
J	Harada, K; Ikeda, S; Nguyen, Q				Harada, Ko; Ikeda, Sosaku; Nguyen, Quang			Molecular population genetics of Quercus mongorica using methionine synthase gene	GENES & GENETIC SYSTEMS																															1341-7568	1880-5779				DEC	2006	81	6					430	430																WOS:000245138300096
C	BEUTLER, E; KUHL, W		BONNIETAMIR, B; ADAM, A		BEUTLER, E; KUHL, W			VARIABILITY AND POPULATION-GENETICS OF GLUCOSE-6-PHOSPHATE-DEHYDROGENASE (G6PD)	GENETIC DIVERSITY AMONG JEWS: DISEASES AND MARKERS AT THE DNA LEVEL					INTERNATIONAL CONF ON GENETIC DIVERSITY AMONG JEWS : DISEASES AND MARKERS AT THE DNA LEVEL	JUN, 1990	ISRAEL	GEORGN CROHN, PRESIDENT NATL FDN JEWISH GENET DIS																									0-19-506817-3				1992							60	69																WOS:A1992BW28L00005
